realtime_end,date,realtime_start,value
2018-10-30,1940-01-01,2018-10-30,26571
2018-10-30,1941-01-01,2018-10-30,.
2018-10-30,1942-01-01,2018-10-30,.
2018-10-30,1943-01-01,2018-10-30,.
2018-10-30,1944-01-01,2018-10-30,.
2018-10-30,1945-01-01,2018-10-30,.
2018-10-30,1946-01-01,2018-10-30,.
2018-10-30,1947-01-01,2018-10-30,30612
2018-10-30,1948-01-01,2018-10-30,31900
2018-10-30,1949-01-01,2018-10-30,33257
2018-10-30,1950-01-01,2018-10-30,34075
2018-10-30,1951-01-01,2018-10-30,34391
2018-10-30,1952-01-01,2018-10-30,35164
2018-10-30,1953-01-01,2018-10-30,35577
2018-10-30,1954-01-01,2018-10-30,35926
2018-10-30,1955-01-01,2018-10-30,36251
2018-10-30,1956-01-01,2018-10-30,37047
2018-10-30,1957-01-01,2018-10-30,37718
2018-10-30,1958-01-01,2018-10-30,37911
2018-10-30,1959-01-01,2018-10-30,38410
2018-10-30,1960-01-01,2018-10-30,39254
2018-10-30,1961-01-01,2018-10-30,39620
2018-10-30,1962-01-01,2018-10-30,40404
2018-10-30,1963-01-01,2018-10-30,40888
2018-10-30,1964-01-01,2018-10-30,41341
2018-10-30,1965-01-01,2018-10-30,41689
2018-10-30,1966-01-01,2018-10-30,42263
2018-10-30,1967-01-01,2018-10-30,42743
2018-10-30,1968-01-01,2018-10-30,43507
2018-10-30,1969-01-01,2018-10-30,44086
2018-10-30,1970-01-01,2018-10-30,44728
2018-10-30,1971-01-01,2018-10-30,44928
2018-10-30,1972-01-01,2018-10-30,45724
2018-10-30,1973-01-01,2018-10-30,46297
2018-10-30,1974-01-01,2018-10-30,46787
2018-10-30,1975-01-01,2018-10-30,46951
2018-10-30,1976-01-01,2018-10-30,47297
2018-10-30,1977-01-01,2018-10-30,47471
2018-10-30,1978-01-01,2018-10-30,47357
2018-10-30,1979-01-01,2018-10-30,47662
2018-10-30,1980-01-01,2018-10-30,49112
2018-10-30,1981-01-01,2018-10-30,49294
2018-10-30,1982-01-01,2018-10-30,49630
2018-10-30,1983-01-01,2018-10-30,49908
2018-10-30,1984-01-01,2018-10-30,50081
2018-10-30,1985-01-01,2018-10-30,50350
2018-10-30,1986-01-01,2018-10-30,50933
2018-10-30,1987-01-01,2018-10-30,51537
2018-10-30,1988-01-01,2018-10-30,51675
2018-10-30,1989-01-01,2018-10-30,52100
2018-10-30,1990-01-01,2018-10-30,52317
2018-10-30,1991-01-01,2018-10-30,52147
2018-10-30,1992-01-01,2018-10-30,52457
2018-10-30,1993-01-01,2018-10-30,53090
2018-10-30,1994-01-01,2018-10-30,53171
2018-10-30,1995-01-01,2018-10-30,53858
2018-10-30,1996-01-01,2018-10-30,53567
2018-10-30,1997-01-01,2018-10-30,53604
2018-10-30,1998-01-01,2018-10-30,54317
2018-10-30,1999-01-01,2018-10-30,54770
2018-10-30,2000-01-01,2018-10-30,55311
2018-10-30,2001-01-01,2018-10-30,56592
2018-10-30,2002-01-01,2018-10-30,56747
2018-10-30,2003-01-01,2018-10-30,57320
2018-10-30,2004-01-01,2018-10-30,57719
2018-10-30,2005-01-01,2018-10-30,57975
2018-10-30,2006-01-01,2018-10-30,58179
2018-10-30,2007-01-01,2018-10-30,58945
2018-10-30,2008-01-01,2018-10-30,58370
2018-10-30,2009-01-01,2018-10-30,59118
2018-10-30,2010-01-01,2018-10-30,58410
2018-10-30,2011-01-01,2018-10-30,58656
2018-10-30,2012-01-01,2018-10-30,58949
2018-10-30,2013-01-01,2018-10-30,59204
2018-10-30,2014-01-01,2018-10-30,59629
2018-10-30,2015-01-01,2018-10-30,60010
2018-10-30,2016-01-01,2018-10-30,60251
2018-10-30,2017-01-01,2018-10-30,60804
